full_text	label
ada	O
di	O
kamala	B-CHAR
dia	O
yang	O
nyatuin	O
pribadi	O
mereka	O
ber-3	O
higher	O
futher	O
faster	O
together	O
baby	O
satu	O
persatu	O
petunjuk	O
dikasih	O
ke	O
penonton	O
layer	O
demi	O
layer	O
sifat	O
asli	O
karakter	O
dikupas	O
dan	O
si	O
mahkluk	O
tersebut	O
yang	O
jadi	O
jangkar	O
dari	O
semuanya	O
baghead	B-MVT
bisa	O
dibilang	O
adalah	O
film	O
horor	B-GEN
yang	O
bukan	O
fokus	O
pada	O
ekspansi	O
cerita	O
tapi	O
lebih	O
menunjukan	O
detail-detail	O
karakternya	O
well	O
buat	O
yang	O
udah	O
khatam	O
sama	O
komiknya	O
film	O
ini	O
menyajikan	O
hubungan	O
sebab-akibat	O
antara	O
siksa	O
neraka	O
dan	O
dosa	O
semasa	O
hidupnya	O
dengan	O
cukup	O
akurat	O
silakan	O
saksikan	O
kembali	O
komiknya	O
dalam	O
bentuk	O
film	O
dan	O
tentu	O
saja	O
bukan	O
film	O
dennis	B-DIR
villeneuve	I-DIR
kalau	O
ga	O
ada	O
plot	O
twist	O
yang	O
mengejutkan	O
ada	O
dua	O
kejadian	O
yang	O
bikin	O
satu	O
bioskop	O
tercengang	O
1	O
pas	O
karakter	O
rahasia	O
muncul	O
dan	O
berbicara	O
2	O
pas	O
tahu	O
background	O
dari	O
karakter	O
itu	O
dan	O
anu	O
bener-bener	O
patrick	B-ACT
wilson	I-ACT
si	O
bapak	O
bapak	O
conjuring	B-MVT
mengalami	O
transformasi	O
yang	O
bikin	O
clap	O
your	O
hand	O
moment	O
di	O
paruh	O
awal	O
film	O
ini	O
menyenangkan	O
melihatnya	O
lagi	O
meskipun	O
char	O
development	O
dia	O
dari	O
yg	O
pertama	O
ke	O
yang	O
kedua	O
ini	O
kerasa	O
lebih	O
sat	O
set	O
sat	O
set	O
gadis	B-MVT
kretek	I-MVT
2023	B-YEAR
rating	O
pak	O
jokoooo	O
10	O
yang	O
cukup	O
bikin	O
seru	O
dari	O
film	O
ghibli	B-STUD
terbaru	O
kali	O
ini	O
adalah	O
cukup	O
banyak	O
hal	O
yang	O
memancing	O
kita	O
para	O
penonton	O
untuk	O
menduga-duga	O
tentang	O
apa	O
yang	O
sebenarnya	O
terjadi	O
berasa	O
dipaksa	O
berteori	O
macem-macem	O
tentang	O
cerita	O
dan	O
visual	O
yang	O
coba	O
disajikan	O
miyazaki	B-DIR
kali	O
ini	O
memang	O
ga	O
salah	O
sih	O
film	O
ini	O
langsung	O
ngeclaim	O
predikat	O
film	O
action	B-GEN
blockbuster	O
korea	B-LOC
tahun	O
ini	O
meskipun	O
2024	B-YEAR
baru	O
saja	O
dimulai	O
karena	O
memang	O
porsi	O
aksinya	O
segede	O
ituuuu	O
asli	O
sih	O
seru	O
banget	O
ya	O
mana	O
aksinya	O
tu	O
nyampur-nyampur	O
antara	O
bela	O
diri	O
yang	O
bisa	O
terbang-terbang	O
oke	O
berikut	O
review	O
kami	O
untuk	O
malam	B-MVT
para	I-MVT
jahanam	I-MVT
2023	B-YEAR
wmidreview	O
buat	O
kalian	O
yang	O
pengen	O
liat	O
review	O
tontonan	O
kami	O
di	O
sepanjang	O
tahun	O
2023	O
silakan	O
cek	O
thread	O
berikut	O
ini	O
atau	O
klik	O
gt	O
wmidreview	O
alienoid	B-MVT
part	I-MVT
2	I-MVT
memperkenalkan	O
banyak	O
karakter	O
baru	O
yang	O
nantinya	O
akan	O
menjadi	O
kunci	O
penting	O
untuk	O
persiapan	O
melawan	O
final	O
boss	O
kemunculan	O
mereka	O
membuka	O
banyak	O
rahasia	O
dari	O
film	O
sebelumnya	O
sambil	O
menampar	O
kita	O
dengan	O
plot	O
twist	O
plot	O
twist	O
yang	O
bombastis	O
chemistry	O
antara	O
aghniny	B-ACT
haque	I-ACT
dan	O
djenar	B-ACT
maesa	I-ACT
ayu	I-ACT
sebagai	O
ibu	O
dan	O
anak	O
pun	O
bagus	O
kami	O
bisa	O
ikut	O
merasakan	O
kehilangan	O
yang	O
teramat	O
dan	O
chemistry	O
itu	O
pun	O
masih	O
kebawa	O
hingga	O
penghujung	O
film	O
akting	O
nangisnya	O
bikin	O
pengen	O
meluk	O
erat	O
aghniny	B-ACT
buat	O
kalian	O
yang	O
pengen	O
liat	O
review	O
tontonan	O
kami	O
di	O
sepanjang	O
tahun	O
2023	O
silakan	O
cek	O
thread	O
berikut	O
ini	O
atau	O
klik	O
gt	O
wmidreview	O
film	O
yang	O
diangkat	O
dari	O
drama	O
radio	O
era	O
80-an	O
ini	O
tentu	O
membuat	O
penasaran	O
gimana	O
sih	O
teror	O
audial	O
jika	O
dibuat	O
juga	O
bentuk	O
visualnya	O
gak	O
nyangka	O
juga	O
kalau	O
para	O
supporting	O
cast	O
seperti	O
tissa	B-ACT
biani	I-ACT
indah	B-ACT
permatasari	I-ACT
arief	B-ACT
didu	I-ACT
sampai	O
bukie	B-ACT
b	I-ACT
mansyur	I-ACT
juga	O
memberikan	O
akting	O
yang	O
cakep	O
nan	O
natural	O
film	O
ini	O
bakal	O
asyik	O
ditonton	O
bareng	O
keluarga	O
karena	O
masuk	O
banget	O
untuk	O
semua	O
kalangan	O
umur	O
kami	O
pun	O
jadi	O
ikut	O
excited	O
untuk	O
menunggu	O
film-film	O
dari	O
idn	B-STUD
pictures	I-STUD
yang	O
terus	O
menerus	O
mengeksplorasi	O
macam-macam	O
genre	O
tanpa	O
harus	O
selalu	O
mengikuti	O
template	O
selera	O
pasar	O
chemistry	O
jung	B-ACT
so-min	I-ACT
sebagai	O
hong	B-CHAR
nara	I-CHAR
dan	O
kang	B-ACT
ha-neul	I-ACT
sebagai	O
noh	B-CHAR
jung-yeol	I-CHAR
yang	O
digambarkan	O
memiliki	O
love	O
hate	O
relationship	O
pun	O
ciamik	O
akting	O
kang	B-ACT
ha-neul	I-ACT
yang	O
perlu	O
menampilkan	O
dua	O
pribadi	O
yang	O
berbeda	O
patut	O
diberikan	O
applause	O
selain	O
itu	O
terdapat	O
salah	O
satu	O
karakter	O
yang	O
sebagai	O
film	O
musikal	B-GEN
wonka	B-MVT
banyak	O
menghadirkan	O
lagu	O
amp	O
tarian	O
yang	O
sangat	O
entertaining	O
sebut	O
saja	O
a	O
world	O
of	O
your	O
own	O
yang	O
dibawakan	O
wonka	B-CHAR
-	O
timoth	B-ACT
e	I-ACT
chalamet	I-ACT
you	O
ve	O
never	O
had	O
chocolate	O
like	O
this	O
yang	O
dinyanyikan	O
para	O
villain	O
lagu	O
gosok-gosok	O
dan	O
masih	O
banyak	O
lagi	O
ga	O
djenar	B-ACT
maesa	I-ACT
ayu	I-ACT
marni	B-CHAR
dan	O
aghniny	B-ACT
haque	I-ACT
dira	B-CHAR
pun	O
yang	O
diceritain	O
sebagai	O
adik	O
kakak	O
kami	O
melihatnya	O
malah	O
lebih	O
seperti	O
ibu	O
dan	O
anak	O
tak	O
ketinggalan	O
teuki	B-ACT
rifnu	I-ACT
wikana	I-ACT
yang	O
surprisingly	O
ngasih	O
elemen	O
komedi	B-GEN
di	O
filmnya	O
dan	O
beliau	O
aktingnya	O
berasa	O
effortless	O
wkwk	O
dan	O
sang	O
karakter	O
utama	O
maudy	B-ACT
efrosina	I-ACT
mainnya	O
bagus	O
banget	O
di	O
sini	O
harus	O
liat	O
sendiri	O
gimana	O
kerennya	O
doi	O
di	O
sini	O
secara	O
visual	O
mungkin	O
udah	O
banyak	O
yang	O
melihat	O
video	O
promo	O
tentang	O
aksi	O
napoleon	B-CHAR
kami	O
pikir	O
kita	O
akan	O
banyak	O
mendapatkan	O
adegan	O
aksi	B-GEN
yang	O
epik	O
seperti	O
di	O
film	O
kingdom	B-MVT
of	I-MVT
heaven	I-MVT
atau	O
gladiator	B-MVT
tapi	O
porsinya	O
ternyata	O
lebih	O
sedikit	O
dari	O
perkiraan	O
dari	O
segi	O
world	O
building	O
dune	B-MVT
part	I-MVT
two	I-MVT
juga	O
ngasih	O
kita	O
perspektif	O
yang	O
jauh	O
lebih	O
dalam	O
kita	O
diperlihatkan	O
harkonenn	B-LOC
dengan	O
detail	O
apa	O
itu	O
way	O
of	O
the	O
desert	O
yang	O
dilakukan	O
oleh	O
fremen	B-CHAR
hingga	O
detail	O
konspirasi	O
yang	O
dibuat	O
oleh	O
para	O
benne	B-CHAR
gesserit	I-CHAR
ceritanya	O
flawless	O
iseng	O
cek	O
imdbnya	O
ridley	B-DIR
scott	I-DIR
sudah	O
139x	O
jadi	O
produser	O
film	O
dan	O
52x	O
jadi	O
sutradara	O
film	O
sekarang	O
ridley	B-DIR
scott	I-DIR
kembali	O
menunjukan	O
kepiawaiannya	O
membuat	O
film	O
epik	O
di	O
napoleon	B-MVT
penggunaan	O
metode	O
rashomon	O
effect	O
di	O
film	O
ini	O
akan	O
membuat	O
kita	O
sebagai	O
penonton	O
terus	O
diajak	O
bertanya-tanya	O
tentang	O
apa	O
yang	O
sedang	O
terjadi	O
dan	O
apa	O
yang	O
akan	O
terjadi	O
selanjutnya	O
ya	O
seandainya	O
ni	O
film	O
dari	O
awal	O
di-treatment	O
sebagai	O
horor	B-GEN
komedi	B-GEN
kayanya	O
bakal	O
lebih	O
works	O
masalahnya	O
ni	O
film	O
dari	O
niatnya	O
keliatan	O
pengen	O
jadi	O
horor	B-GEN
yang	O
beneran	O
serem	O
tapi	O
eksekusinya	O
waduh	O
semua	O
gampang	B-MVT
cuan	I-MVT
2023	B-YEAR
rating	O
layangan	O
nyambung	O
10	O
oke	O
berikut	O
review	O
kami	O
untuk	O
alienoid	B-MVT
return	I-MVT
to	I-MVT
the	I-MVT
future	I-MVT
2024	B-YEAR
wmidreview	O
yang	O
pengen	O
kami	O
highlight	O
di	O
sini	O
adalah	O
chemistry	O
karakter	O
vino	B-CHAR
dan	O
anya	B-CHAR
yang	O
terasa	O
sangat	O
asik	O
vino	B-CHAR
yang	O
teu	O
asa-asa	O
ngadegungkeun	O
anya	B-CHAR
di	O
sebuah	O
adegan	O
serta	O
berpuluh-puluh	O
adegan	O
caci	O
maki	O
antara	O
mereka	O
berdua	O
bikin	O
mereka	O
terasa	O
believable	O
sebagai	O
kakak	O
adik	O
film	O
ini	O
berlatar	O
di	O
thailand	B-LOC
selatan	I-LOC
jadi	O
cukup	O
banyak	O
terinfluence	O
bahasa	O
melayu	O
dan	O
nuansa	O
islaminya	O
buat	O
yang	O
pernah	O
nonton	O
film	O
horor	B-GEN
malaysia	B-LOC
nah	O
persis	O
kek	O
gitu	O
tapi	O
bahasa	O
thai-nya	O
tetep	O
mendominasi	O
oke	O
berikut	O
review	O
kami	O
untuk	O
gadis	B-MVT
kretek	I-MVT
2023	B-YEAR
wmidreview	O
akting	O
dari	O
aktor	O
utama	O
sampai	O
figuran	O
semua	O
berakting	O
luar	O
biasa	O
terutama	O
soya	B-ACT
kurokawa	I-ACT
dan	O
hinata	B-ACT
hiiragi	I-ACT
dua	O
aktor	O
muda	O
yang	O
menjadi	O
pemeran	O
utama	O
di	O
film	O
ini	O
aktingnya	O
bagus	O
banget	O
kemampuan	O
kore-eda	B-DIR
dalam	O
nge-direct	O
aktor-aktor	O
muda	O
emang	O
ga	O
perlu	O
diragukan	O
buat	O
kalian	O
yang	O
pengen	O
liat	O
review	O
tontonan	O
kami	O
di	O
sepanjang	O
tahun	O
2023	O
silakan	O
cek	O
thread	O
berikut	O
ini	O
atau	O
klik	O
gt	O
wmidreview	O
lucy	B-CHAR
gray	I-CHAR
bukanlah	O
simbol	O
pemberontakan	O
seperti	O
katniss	B-CHAR
dia	O
juga	O
diberikan	O
porsi	O
yang	O
tidak	O
sebesar	O
katniss	B-CHAR
di	O
original	O
triloginya	O
sekali	O
lagi	O
film	O
ini	O
lebih	O
fokus	O
ke	O
snow	B-CHAR
oke	O
berikut	O
review	O
kami	O
untuk	O
argylle	B-MVT
2024	B-YEAR
wmidreview	O
untuk	O
genre	O
film	O
keluarga	B-GEN
plot	O
filmnya	O
bisa	O
dibilang	O
progresif	O
layer	O
ceritanya	O
banyak	O
dan	O
jauh	O
dari	O
kata	O
membosankan	O
penonton	O
dikasih	O
banyak	O
drama	O
yang	O
ringan	O
dan	O
sangat	O
menghibur	O
mulai	O
dari	O
ikutan	O
jadi	O
detektif	O
sampai	O
ketemu	O
sule	B-CHAR
andre	B-CHAR
dan	O
mcgaiver	B-CHAR
nah	O
lho	O
sekadar	O
info	O
di	O
awal	O
kami	O
menonton	O
film	O
ini	O
bulan	O
juli	O
lalu	O
di	O
jepang	B-LOC
dune	B-MVT
part	I-MVT
two	I-MVT
2024	B-YEAR
rating	O
sepupu	O
10	O
ngomongin	O
adegan	O
brutal	O
ga	O
cuma	O
brutal	O
tapi	O
juga	O
ngagetin	O
ni	O
film	O
punya	O
adegan	O
bunuh-bunuhan	O
yang	O
muncul	O
dengan	O
timing	O
yang	O
tak	O
terduga	O
wkwkwk	O
bikin	O
sebel	O
tapi	O
udahnya	O
ngerasa	O
lucu	O
juga	O
ya	O
lucu	O
sendiri	O
adegan	O
sabet	O
tusuk	O
tembak	O
dll-nya	O
bermunculan	O
secara	O
tidak	O
terduga	O
oke	O
berikut	O
review	O
kami	O
untuk	O
la	B-MVT
luna	I-MVT
2023	B-YEAR
wmidreview	O
kenapa	O
begitu	O
karena	O
film	O
horor	B-GEN
campy	O
ini	O
penuh	O
dengan	O
kekonyolan	O
di	O
sana-sini	O
tapi	O
pas	O
lagi	O
konyol-konyolnya	O
lu	O
dikagetin	O
sampe-sampe	O
bingung	O
mau	O
teriak	O
apa	O
ketawa	O
pokoknya	O
campur	O
aduk	O
deh	O
rasanya	O
akhir	O
kata	O
dream	B-MVT
scenario	I-MVT
is	O
one	O
of	O
the	O
best	O
nicolas	B-ACT
cage	I-ACT
s	O
work	O
and	O
we	O
recommend	O
to	O
see	O
it	O
in	O
theaters	O
di	O
indonesia	B-LOC
hanya	O
tayang	O
di	O
cgv	O
cinepolis	O
flix	O
beberapa	O
karakter	O
utama	O
di	O
film	O
ini	O
punya	O
desain	O
karakter	O
yang	O
cukup	O
menarik	O
bu	B-CHAR
prani	I-CHAR
yang	O
diperankan	O
oleh	O
sha	B-ACT
ine	I-ACT
febriyanti	I-ACT
dan	O
muklas	B-CHAR
yang	O
diperankan	O
oleh	O
angga	B-ACT
yunanda	I-ACT
jelas	O
yang	O
menurut	O
kami	O
paling	O
jadi	O
sorotan	O
di	O
film	O
ini	O
past	B-MVT
lives	I-MVT
2023	B-YEAR
rating	O
what	O
if	O
10	O
oke	O
berikut	O
review	O
kami	O
untuk	O
the	B-MVT
boy	I-MVT
and	I-MVT
the	I-MVT
heron	I-MVT
2023	B-YEAR
wmidreview	O
secara	O
cerita	O
gimana	O
hmm	O
ya	O
intinya	O
semua	O
berasa	O
diskonek	O
adegan	O
satu	O
sama	O
lain	O
dari	O
awal	O
sampe	O
akhir	O
momen	O
di	O
ending	O
yang	O
harusnya	O
bikin	O
wow	O
malah	O
berasa	O
b	O
aja	O
lewat	O
cara	O
nge-revealnya	O
yang	O
gagal	O
wkwkw	O
pesan	O
tentang	O
hati-hati	O
dalam	O
berinternet	O
terlihat	O
sangat	O
jelas	O
dan	O
lugas	O
disampaikan	O
oleh	O
film	O
ini	O
pokoknya	O
kelar	O
nonton	O
bawaannya	O
ya	O
beneran	O
ga	O
gampang	O
buru-buru	O
ngejudge	O
tentang	O
info	O
apapun	O
yang	O
kalian	O
terima	O
di	O
social	O
media	O
iya	O
beneran	O
jadi	O
media	O
pengingat	O
yang	O
baik	O
tahun	O
ini	O
illumination	B-STUD
kembali	O
dengan	O
film	O
animasi	O
mereka	O
yang	O
berjudul	O
migration	B-MVT
sambil	O
ditemani	O
short	O
movie	O
presentation	O
yang	O
hadir	O
sebelum	O
filmnya	O
yang	O
berjudul	O
mooned	B-MVT
premisnya	O
sekilas	O
terlihat	O
sederhana	O
namun	O
film	O
ini	O
berhasil	O
meramunya	O
menjadi	O
kisah	O
persahabatan	O
dan	O
pencarian	O
jati	O
diri	O
yang	O
cukup	O
kompleks	O
kompleksitas	O
ini	O
juga	O
didukung	O
dengan	O
penulisan	O
karakter-karakternya	O
yang	O
apik	O
naik	O
turun	O
perkembangan	O
karakternya	O
tu	O
bener-bener	O
tak	O
pemukiman	B-MVT
setan	I-MVT
2024	B-YEAR
rating	O
bacot	O
10	O
duo	O
pemeran	O
utama	O
di	O
film	O
ini	O
adalah	O
coriolanus	B-CHAR
snow	I-CHAR
tom	B-ACT
blyth	I-ACT
sebagai	O
mentor	O
dan	O
lucy	B-CHAR
gray	I-CHAR
baird	I-CHAR
rachel	B-ACT
zegler	I-ACT
sebagai	O
tribute	O
yang	O
bertarung	O
di	O
arena	O
hunger	B-MVT
games	I-MVT
hal	O
pertama	O
yang	O
bisa	O
bikin	O
kami	O
takjub	O
dari	O
film	O
ini	O
adalah	O
set	O
productionnya	O
nuansa	O
tahun	O
70-	O
80an	O
yang	O
dihadirkan	O
di	O
sepanjang	O
film	O
cukup	O
on	O
point	O
dan	O
bener-bener	O
kerasa	O
jadulnya	O
meski	O
tetep	O
aja	O
ada	O
yang	O
miss	O
tapi	O
sangat	O
sangat	O
minor	O
satu	O
hal	O
yang	O
kami	O
ga	O
nyangka	O
dari	O
film	O
panjang	O
terbaru	O
dari	O
wregas	B-DIR
bhanuteja	I-DIR
ini	O
adalah	O
ternyata	O
budi	B-MVT
pekerti	I-MVT
ini	O
banyak	O
selipan	O
komedinya	O
di	O
balik	O
kisah	O
getir	O
yang	O
coba	O
disajikan	O
film	O
ini	O
mampu	O
menyelipkan	O
dialog	O
dan	O
adegan	O
yang	O
lucu	O
karena	O
scene	O
nya	O
banyak	O
di	O
kolam	O
renang	O
yg	O
which	O
is	O
main	O
air	O
kami	O
pun	O
cukup	O
breathe-in	O
breathe-out	O
sepanjang	O
nonton	O
filmnya	O
apalagi	O
kalo	O
udah	O
scene	O
di	O
dalem	O
air	O
malem2	O
pula	O
berikut	O
ada	O
hantunya	O
lengkap	O
sudah	O
parnonya	O
apalagi	O
pas	O
bagian	O
main	O
game	O
marco	O
polo	O
di	O
kolam	O
renang	O
ngomongin	O
akting	O
kayanya	O
cuma	O
lutesha	B-ACT
di	O
film	O
ini	O
yang	O
terasa	O
hidup	O
meski	O
lutesha	B-ACT
dan	O
ardhito	B-ACT
blas	O
sama	O
sekali	O
ga	O
believable	O
sebagai	O
karakter	O
sepasang	O
kekasih	O
tapi	O
ntah	O
gimana	O
caranya	O
lutesha	B-ACT
tetep	O
bisa	O
bikin	O
kararternya	O
segitu	O
punya	O
nyawa	O
nya	O
salut	O
masih	O
soal	O
dialog	O
buat	O
kami	O
yang	O
awam	O
beraneka	O
macam	O
istilah	O
crypto	O
yang	O
disebukan	O
di	O
film	O
ini	O
terasa	O
cukup	O
membingungkan	O
untuk	O
didengarkan	O
terutama	O
tanpa	O
adanya	O
subtitle	O
ga	O
sekali	O
dua	O
kali	O
kami	O
bergumam	O
hah	O
itu	O
barusan	O
tadi	O
ngomong	O
apaan	O
kemunculan	O
cameo-cameo	O
dari	O
anggota	O
asli	O
srimulat	O
juga	O
semakin	O
seru	O
di	O
sini	O
momen-momennya	O
lebih	O
gerrr	O
dan	O
banyak	O
memancing	O
riuh	O
tepuk	O
tangan	O
di	O
press	O
screening	O
kemarin	O
sungguh	O
sebuah	O
pengalaman	O
menonton	O
yang	O
mengasyikkan	O
dibikin	O
kesal	O
dengan	O
villain	O
yang	O
menggunakan	O
agama	O
untuk	O
berdalih	O
dibikin	O
ketawa	O
dengan	O
lawakan	O
yang	O
ga	O
terduga	O
serta	O
dibikin	O
terharu	O
dengan	O
relationship	O
orang	O
tua-anak	O
pada	O
akhirnya	O
la	B-MVT
luna	I-MVT
adalah	O
film	O
yang	O
tak	O
hanya	O
sangat	O
menyenangkan	O
tapi	O
kami	O
rasa	O
penting	O
untuk	O
oke	O
berikut	O
review	O
kami	O
untuk	O
film	O
baghead	B-MVT
2024	B-YEAR
wmidreview	O
fun	O
fact	O
sebelum	O
timothee	B-ACT
chalamet	I-ACT
wonka	B-CHAR
sempat	O
diperankan	O
oleh	O
dengan	O
gene	B-ACT
wilder	I-ACT
dan	O
juga	O
johnny	B-ACT
depp	I-ACT
pada	O
reboot	O
filmnya	O
di	O
tahun	O
2005	B-YEAR
film	O
rebootnya	O
sendiri	O
sepertinya	O
cukup	O
familiar	O
ya	O
dengan	O
kita-kita	O
karena	O
sering	O
ditayangkan	O
setiap	O
libur	O
akhir	O
tahun	O
jadi	O
sepertinya	O
kami	O
juga	O
kaget	O
rupanya	O
ada	O
michael	B-ACT
cera	I-ACT
yang	O
main	O
di	O
sini	O
tapi	O
tetap	O
overshadowed	O
oleh	O
nicolas	B-ACT
cage	I-ACT
yang	O
menjadi	O
power	O
utama	O
di	O
film	O
ini	O
peak	O
awkward	O
comedy	B-GEN
night	B-MVT
swim	I-MVT
2024	B-YEAR
rating	O
you	O
re	O
supposed	O
to	O
say	O
polo	O
10	O
namun	O
rachel	B-ACT
zegler	I-ACT
cukup	O
sukses	O
memerankan	O
lucy	B-CHAR
gray	I-CHAR
yang	O
jago	O
bernyanyi	O
dan	O
menjadi	O
salah	O
satu	O
unsur	O
utama	O
dalam	O
motivasi	O
snow	B-CHAR
melakukan	O
tindakan-tindakannya	O
dalam	O
film	O
ini	O
secara	O
cerita	O
sebenarnya	O
cukup	O
menarik	O
since	O
madame	B-CHAR
web	I-CHAR
yang	O
dikenal	O
dari	O
komik	O
selama	O
ini	O
taunya	O
udah	O
berusia	O
tua	O
nah	O
di	O
film	O
ini	O
kita	O
diceritain	O
dari	O
awal	O
mula	O
sampai	O
proses	O
bagaimana	O
seorang	O
cassie	B-CHAR
menjadi	O
madame	B-CHAR
web	I-CHAR
satu	O
hal	O
yang	O
cukup	O
mengejutkan	O
dari	O
film	O
ini	O
adalah	O
adanya	O
ad	O
placement	O
berupa	O
cokelat	O
merk	O
meiji	O
wkwkwk	O
ya	O
kami	O
beranggapan	O
mungkin	O
film	O
ini	O
juga	O
berlatarkan	O
masa	O
showa	O
di	O
saat	O
jepang	O
melakukan	O
persiapan	O
perang	O
jadi	O
masih	O
bisa	O
masuk	O
secara	O
garis	O
waktu	O
berjeda	O
cukup	O
lama	O
dari	O
film	O
mcu	O
terakhir	O
gotg	B-MVT
vol	I-MVT
3	I-MVT
mei	O
2023	B-YEAR
akhirnya	O
the	B-MVT
marvels	I-MVT
tayang	O
juga	O
di	O
bioskop	O
timeline-nya	O
yang	O
membuat	O
doi	O
tayang	O
november	O
bikin	O
the	B-MVT
marvels	I-MVT
ini	O
jadi	O
film	O
mcu	O
terakhir	O
yang	O
rilis	O
di	O
tahun	O
2023	B-YEAR
kalo	O
dari	O
acting	O
sih	O
menurut	O
kami	O
yang	O
menonjol	O
cuma	O
duo	O
cegil	O
ibu	O
dan	O
anak	O
rahayu	B-CHAR
wulan	B-ACT
guritno	I-ACT
dan	O
rara	B-CHAR
carmela	B-ACT
van	I-ACT
der	I-ACT
kruk	I-ACT
kalo	O
sisanya	O
yaaa	O
canggung	O
canggung	O
oke	O
lah	O
meskipun	O
chemistry	O
tiap	O
karakter	O
gak	O
terlalu	O
kebentuk	O
dan	O
untuk	O
logat	O
bahasanya	O
pun	O
nice	O
sebagai	O
sebuah	O
sajian	O
romcom	B-GEN
dengan	O
berbagai	O
macam	O
hal	O
janggal	O
yang	O
menyertainya	O
sebenernya	O
masih	O
sangat	O
bisa	O
tertutupi	O
oleh	O
komedi	B-GEN
komedinya	O
yang	O
muncul	O
terus	O
sampe	O
akhir	O
filmnya	O
bahkan	O
sampe	O
credit	O
scene	O
dream	B-MVT
scenario	I-MVT
2024	B-YEAR
rating	O
dreamfluencer	O
10	O
fyi	O
agak	B-MVT
laen	I-MVT
adalah	O
film	O
ketiga	O
dari	O
imajinari	B-STUD
yang	O
sebelumnya	O
sudah	O
sukses	O
dengan	O
ngeri-ngeri	B-MVT
sedap	I-MVT
dan	O
jatuh	B-MVT
cinta	I-MVT
seperti	I-MVT
di	I-MVT
film-film	I-MVT
wajar	O
rasanya	O
kalau	O
penonton	O
punya	O
ekspektasi	O
yang	O
tinggi	O
terhadap	O
agak	B-MVT
laen	I-MVT
karena	O
dua	O
film	O
sebelumnya	O
terbilang	O
sukses	O
sebagai	O
film	O
terakhir	O
dari	O
dceu	O
aquaman	B-MVT
and	I-MVT
the	I-MVT
lost	I-MVT
kingdom	I-MVT
mungkin	O
bukan	O
sajian	O
yang	O
menutup	O
list	O
dengan	O
sempurna	O
amp	O
tidak	O
merayakan	O
bubarnya	O
dceu	O
tapi	O
setidaknya	O
masih	O
menjadi	O
sajian	O
yang	O
menyenangkan	O
selayaknya	O
aquaman	B-MVT
yang	O
pertama	O
ada	O
1	O
mid	O
credit	O
scene	O
anjir	O
ini	O
kayanya	O
ada	O
yang	O
ga	O
beres	O
deh	O
nah	O
feel	O
ketar-ketir	O
itu	O
yang	O
bakal	O
kalian	O
rasain	O
di	O
paruh	O
awal	O
film	O
thanksgiving	B-MVT
ini	O
sebuah	O
sensasi	O
yang	O
anjir	O
bener	O
deh	O
jadi	O
pastiin	O
jangan	O
melewatkan	O
berbagai	O
adegan	O
brutal	O
bikin	O
ngilu	O
tapi	O
ikonik	O
ini	O
di	O
awal	O
film	O
sekadar	O
info	O
di	O
awal	O
kami	O
menonton	O
film	O
ini	O
di	O
hari	O
pertama	O
pemutarannya	O
di	O
jepang	B-LOC
pun	O
cara	O
film	O
ini	O
dalam	O
bercerita	O
pun	O
harus	O
kami	O
akui	O
kurang	O
engaging	O
cukup	O
banyak	O
