;full_text
327;sebagai film musikal wonka banyak menghadirkan lagu amp tarian yang sangat entertaining sebut saja a world of your own yang dibawakan wonka - timoth e chalamet you ve never had chocolate like this yang dinyanyikan para villain lagu gosok-gosok dan masih banyak lagi ga
288;djenar maesa ayu marni dan aghniny haque dira pun yang diceritain sebagai adik kakak kami melihatnya malah lebih seperti ibu dan anak
17;tak ketinggalan teuki rifnu wikana yang surprisingly ngasih elemen komedi di filmnya dan beliau aktingnya berasa effortless wkwk dan sang karakter utama maudy efrosina mainnya bagus banget di sini harus liat sendiri gimana kerennya doi di sini
363;secara visual mungkin udah banyak yang melihat video promo tentang aksi napoleon kami pikir kita akan banyak mendapatkan adegan aksi yang epik seperti di film kingdom of heaven atau gladiator tapi porsinya ternyata lebih sedikit dari perkiraan
101;dari segi world building dune part two juga ngasih kita perspektif yang jauh lebih dalam kita diperlihatkan harkonenn dengan detail apa itu way of the desert yang dilakukan oleh fremen hingga detail konspirasi yang dibuat oleh para benne gesserit ceritanya flawless
368;iseng cek imdbnya ridley scott sudah 139x jadi produser film dan 52x jadi sutradara film sekarang ridley scott kembali menunjukan kepiawaiannya membuat film epik di napoleon
477;penggunaan metode rashomon effect di film ini akan membuat kita sebagai penonton terus diajak bertanya-tanya tentang apa yang sedang terjadi dan apa yang akan terjadi selanjutnya
353;ya seandainya ni film dari awal di-treatment sebagai horor komedi kayanya bakal lebih works masalahnya ni film dari niatnya keliatan pengen jadi horor yang beneran serem tapi eksekusinya waduh semua
424;gampang cuan 2023 rating layangan nyambung 10
11;oke berikut review kami untuk alienoid return to the future 2024 wmidreview
430;yang pengen kami highlight di sini adalah chemistry karakter vino dan anya yang terasa sangat asik vino yang teu asa-asa ngadegungkeun anya di sebuah adegan serta berpuluh-puluh adegan caci maki antara mereka berdua bikin mereka terasa believable sebagai kakak adik
357;film ini berlatar di thailand selatan jadi cukup banyak terinfluence bahasa melayu dan nuansa islaminya buat yang pernah nonton film horor malaysia nah persis kek gitu tapi bahasa thai-nya tetep mendominasi
535;oke berikut review kami untuk gadis kretek 2023 wmidreview
471;akting dari aktor utama sampai figuran semua berakting luar biasa terutama soya kurokawa dan hinata hiiragi dua aktor muda yang menjadi pemeran utama di film ini aktingnya bagus banget kemampuan kore-eda dalam nge-direct aktor-aktor muda emang ga perlu diragukan
423;buat kalian yang pengen liat review tontonan kami di sepanjang tahun 2023 silakan cek thread berikut ini atau klik gt wmidreview
458;lucy gray bukanlah simbol pemberontakan seperti katniss dia juga diberikan porsi yang tidak sebesar katniss di original triloginya sekali lagi film ini lebih fokus ke snow
229;oke berikut review kami untuk argylle 2024 wmidreview
303;untuk genre film keluarga plot filmnya bisa dibilang progresif layer ceritanya banyak dan jauh dari kata membosankan penonton dikasih banyak drama yang ringan dan sangat menghibur mulai dari ikutan jadi detektif sampai ketemu sule andre dan mcgaiver nah lho
348;sekadar info di awal kami menonton film ini bulan juli lalu di jepang
95;dune part two 2024 rating sepupu 10
390;ngomongin adegan brutal ga cuma brutal tapi juga ngagetin ni film punya adegan bunuh-bunuhan yang muncul dengan timing yang tak terduga wkwkwk bikin sebel tapi udahnya ngerasa lucu juga ya lucu sendiri adegan sabet tusuk tembak dll-nya bermunculan secara tidak terduga
317;oke berikut review kami untuk la luna 2023 wmidreview
73;kenapa begitu karena film horor campy ini penuh dengan kekonyolan di sana-sini tapi pas lagi konyol-konyolnya lu dikagetin sampe-sampe bingung mau teriak apa ketawa pokoknya campur aduk deh rasanya
154;akhir kata dream scenario is one of the best nicolas cage s work and we recommend to see it in theaters di indonesia hanya tayang di cgv cinepolis flix
516;beberapa karakter utama di film ini punya desain karakter yang cukup menarik bu prani yang diperankan oleh sha ine febriyanti dan muklas yang diperankan oleh angga yunanda jelas yang menurut kami paling jadi sorotan di film ini
438;past lives 2023 rating what if 10
349;oke berikut review kami untuk the boy and the heron 2023 wmidreview
356;secara cerita gimana hmm ya intinya semua berasa diskonek adegan satu sama lain dari awal sampe akhir momen di ending yang harusnya bikin wow malah berasa b aja lewat cara nge-revealnya yang gagal wkwkw
513;pesan tentang hati-hati dalam berinternet terlihat sangat jelas dan lugas disampaikan oleh film ini pokoknya kelar nonton bawaannya ya beneran ga gampang buru-buru ngejudge tentang info apapun yang kalian terima di social media iya beneran jadi media pengingat yang baik
250;tahun ini illumination kembali dengan film animasi mereka yang berjudul migration sambil ditemani short movie presentation yang hadir sebelum filmnya yang berjudul mooned
34;premisnya sekilas terlihat sederhana namun film ini berhasil meramunya menjadi kisah persahabatan dan pencarian jati diri yang cukup kompleks kompleksitas ini juga didukung dengan penulisan karakter-karakternya yang apik naik turun perkembangan karakternya tu bener-bener tak
12;pemukiman setan 2024 rating bacot 10
464;duo pemeran utama di film ini adalah coriolanus snow tom blyth sebagai mentor dan lucy gray baird rachel zegler sebagai tribute yang bertarung di arena hunger games
75;hal pertama yang bisa bikin kami takjub dari film ini adalah set productionnya nuansa tahun 70- 80an yang dihadirkan di sepanjang film cukup on point dan bener-bener kerasa jadulnya meski tetep aja ada yang miss tapi sangat sangat minor
517;satu hal yang kami ga nyangka dari film panjang terbaru dari wregas bhanuteja ini adalah ternyata budi pekerti ini banyak selipan komedinya di balik kisah getir yang coba disajikan film ini mampu menyelipkan dialog dan adegan yang lucu
87;karena scene nya banyak di kolam renang yg which is main air kami pun cukup breathe-in breathe-out sepanjang nonton filmnya apalagi kalo udah scene di dalem air malem2 pula berikut ada hantunya lengkap sudah parnonya apalagi pas bagian main game marco polo di kolam renang
58;ngomongin akting kayanya cuma lutesha di film ini yang terasa hidup meski lutesha dan ardhito blas sama sekali ga believable sebagai karakter sepasang kekasih tapi ntah gimana caranya lutesha tetep bisa bikin kararternya segitu punya nyawa nya salut
59;masih soal dialog buat kami yang awam beraneka macam istilah crypto yang disebukan di film ini terasa cukup membingungkan untuk didengarkan terutama tanpa adanya subtitle ga sekali dua kali kami bergumam hah itu barusan tadi ngomong apaan
376;kemunculan cameo-cameo dari anggota asli srimulat juga semakin seru di sini momen-momennya lebih gerrr dan banyak memancing riuh tepuk tangan di press screening kemarin sungguh sebuah pengalaman menonton yang mengasyikkan
309;dibikin kesal dengan villain yang menggunakan agama untuk berdalih dibikin ketawa dengan lawakan yang ga terduga serta dibikin terharu dengan relationship orang tua-anak pada akhirnya la luna adalah film yang tak hanya sangat menyenangkan tapi kami rasa penting untuk
181;oke berikut review kami untuk film baghead 2024 wmidreview
330;fun fact sebelum timothee chalamet wonka sempat diperankan oleh dengan gene wilder dan juga johnny depp pada reboot filmnya di tahun 2005 film rebootnya sendiri sepertinya cukup familiar ya dengan kita-kita karena sering ditayangkan setiap libur akhir tahun jadi sepertinya
157;kami juga kaget rupanya ada michael cera yang main di sini tapi tetap overshadowed oleh nicolas cage yang menjadi power utama di film ini peak awkward comedy
79;night swim 2024 rating you re supposed to say polo 10
457;namun rachel zegler cukup sukses memerankan lucy gray yang jago bernyanyi dan menjadi salah satu unsur utama dalam motivasi snow melakukan tindakan-tindakannya dalam film ini
149;secara cerita sebenarnya cukup menarik since madame web yang dikenal dari komik selama ini taunya udah berusia tua nah di film ini kita diceritain dari awal mula sampai proses bagaimana seorang cassie menjadi madame web
343;satu hal yang cukup mengejutkan dari film ini adalah adanya ad placement berupa cokelat merk meiji wkwkwk ya kami beranggapan mungkin film ini juga berlatarkan masa showa di saat jepang melakukan persiapan perang jadi masih bisa masuk secara garis waktu
502;berjeda cukup lama dari film mcu terakhir gotg vol 3 mei 2023 akhirnya the marvels tayang juga di bioskop timeline-nya yang membuat doi tayang november bikin the marvels ini jadi film mcu terakhir yang rilis di tahun 2023
70;kalo dari acting sih menurut kami yang menonjol cuma duo cegil ibu dan anak rahayu wulan guritno dan rara carmela van der kruk kalo sisanya yaaa canggung canggung oke lah meskipun chemistry tiap karakter gak terlalu kebentuk dan untuk logat bahasanya pun nice
539;sebagai sebuah sajian romcom dengan berbagai macam hal janggal yang menyertainya sebenernya masih sangat bisa tertutupi oleh komedi komedinya yang muncul terus sampe akhir filmnya bahkan sampe credit scene
153;dream scenario 2024 rating dreamfluencer 10
204;fyi agak laen adalah film ketiga dari imajinari yang sebelumnya sudah sukses dengan ngeri-ngeri sedap dan jatuh cinta seperti di film-film wajar rasanya kalau penonton punya ekspektasi yang tinggi terhadap agak laen karena dua film sebelumnya terbilang sukses
254;sebagai film terakhir dari dceu aquaman and the lost kingdom mungkin bukan sajian yang menutup list dengan sempurna amp tidak merayakan bubarnya dceu tapi setidaknya masih menjadi sajian yang menyenangkan selayaknya aquaman yang pertama ada 1 mid credit scene
393;anjir ini kayanya ada yang ga beres deh nah feel ketar-ketir itu yang bakal kalian rasain di paruh awal film thanksgiving ini sebuah sensasi yang anjir bener deh jadi pastiin jangan melewatkan berbagai adegan brutal bikin ngilu tapi ikonik ini di awal film
482;sekadar info di awal kami menonton film ini di hari pertama pemutarannya di jepang
145;pun cara film ini dalam bercerita pun harus kami akui kurang engaging cukup banyak adegan yang kayanya semacam bisa di-skip dan diganti dengan adegan lain yang mungkin bisa lebih meng-elevate koneksi dan bonding antar karakter yang terlibat
312;detail film ini dalam bercerita juga terus-terusan bikin kami kaget banyak banget adegan yang kami kira cuma lucu-lucuan ternyata dipakai lagi di belakang rasanya tidak berlebihan jika kami bilang naskah film ini sangat matang
174;durasi baghead sekitar 1 5 jam dan karena kebetulan yang nonton adalah admin kami yang ga suka horor sepanjang film pengen nangis buat keluar visualnya cakep sound design mantep ambience dan lorenya dalem dan kelakukan si itu bikin kaga tahan pengen segera keluar
432;film ini punya rangkaian cerita yang menarik serta membawa elemen komedi yang meski kerasa hit n miss di beberapa bagian tapi masih sangat efektif dalam urusan memancing tawa susah buat ga ketawa dengan berbagai macam kata dan celetukan random di sepanjang film
241;oke berikut review kami untuk kereta berdarah 2024 wmidreview
466;film about teenagers brutally murder each other is back setelah 8 tahun dari mockingjay part 2 yang rilis 2015 akhirnya film dari universe the hunger games balik lagi ke layar lebar
318;buat kalian yang pengen liat review tontonan kami di sepanjang tahun 2023 silakan cek thread berikut ini atau klik gt wmidreview
326;beberapa lagu yang sebelumnya hadir di film originalnya juga dinyanyikan kembali dalam prequel ini seperti lagu pure imagination yang cukup melekat pada film originalnya nostalgic
69;entah sengaja apa nggak tapi kami rasa film ini nyempilin beberapa easter eggs di scene-scenenya mulai dari selipan konten film2 horror populer sampe teori2 liar dari menfess yang saking ajaib teorinya sampe bikin melongo dan bikin ngakak
160;sesuai dengan tagline film ini meet the man of your dreams dream scenario berkisah tentang paul matthews nicolas cage seorang dosen biologi yang secara random muncul di dalam mimpi orang-orang
264;aquaman and the lost kingdom bercerita tentang kehidupan arthur curry setelah menikah dan punya anak perlu nonton yang pertama pastinya kalaupun udah nonton rasanya perlu rewatch meskipun di film ini akan ada sedikit banyak flashback
443;suka bagaimana film ini mampu bermain dengan moment of silence penonton diajak buat bisa merasakan adegan hening penuh arti lengkap dengan shot-shot cantik yang menyertai ga perlu dialog ina inu untuk bisa mengerti dan membaca pikiran karakter ketika momen ini seliweran
140;akhir kata madame web ini merupakan film bertema superhero mengisahkan sebuah origin berlatar tahun 2000-an yang segala aspek teknis segala macemnya mengikuti persis tahun di era segitu oh ya ga ada credit scene ya jadi ga perlu nunggu credit roll sampe mentok banget
463;bersetting waktu 64 tahun sebelum film pertamanya film ini menceritakan tentang origin story dari villain utama dari original trilogi the hunger games yaitu coriolanus snow
274;dari segi cerita sebenernya bisa kami bilang semua bagiannya penting untuk membangun alurnya tapi entah kenapa kami ngerasa agak dragging dan sampe beberapa kali ngebatin kok gak kelar-kelar si
425;pada akhirnya kalo bisa mengabaikan dialog sunda-nya yang kureng-- film gampang cuan merupakan sajian drama komedi yang surprisingly digarap dengan baik chemistry karakternya oke ceritanya seru komedinya menghibur amp drama keluarganya cukup menohok rekomendid
266;buat kalian yang pengen liat review tontonan kami di sepanjang tahun 2023 silakan cek thread berikut ini atau klik gt wmidreview
415;banyak karakter baru yang muncul dengan suka-suka bahkan di film ke-3 ini ada camila cabello amp troye sivan bergabung menjadi salah satu pengisi suara
501;sebelum masuk review kami pengen flashback dikit perihal 3 karakter utama the marvels ini the marvels ini siapa aja ada captain marvel captain rambeu dan ms marvel 1 udah kita kenal dari film sedangkan 2 lainnya utamanya dari series iya dari sini aja udah tricky
454;durasi film yang lama menjadikan world building universe hunger games menjadi lebih dalam sehingga negara panem dan aspek-aspek masyarakatnya disajikan secara lebih luas
270;dari segi akting pun pada biasa saja setidaknya akting beberapa pemeran utamanya terlihat menjanjikan sebagai sebuah keluarga tapi chemistry mereka sebagai sebuah keluarga inti kami gak ngerasa kedekatannya
510;sedikit tambahan tanpa ngasih spoiler kami cukup kecewa dengan penggarapan cerita untuk karakter pak didit dwi sasono dan gora omara esteghal sayang banget aja akting dan desain karakter yang udah menarik ngasih kesan yang hah buat gitu doang
366;apakah bikin film napoleon jadi jelek tidak justru sebaliknya film napoleon jadi terasa unik dan berbeda terutama di act 1 dan act 2 dan baru terasa familiaritas cerita khas ridley scott di act 3 susah jelasin rasanya intinya rasa filmnya beda tapi tetep enak ditonton
205;agak laen bercerita tentang 4 sekawan penjaga rumah hantu yang tidak sengaja membuat salah satu pengunjungnya mati ketakutan akibat sakit jantung berbagai macam ide konyol dilakukan untuk menyelesaikan masalah ini
198;ada beberapa hal yang membuat kami terkejut in a good way beberapa shot terasa sangat segar untuk genre film komedi selain itu drama yang ditampilkan pada saat klimaks juga cakep dan intense banget mengingatkan kami dengan adegan itu di film ngeri-ngeri sedap
316;sebagai seseorang yang berada dalam ruang lingkup keluarga yang sangat agamis-- la luna adalah film yang benar-benar kami tunggu film ini dengan begitu lantang berteriak memvalidasi berbagai macam keresahan di pikiran-- yang ketika tumbuh besar sering melihat agama digunakan
191;oke berikut review kami untuk pasutri gaje 2024 wmidreview
193;di balik beberapa hal yang mengganjal tadi agak laen jelas film komedi yang asik bener komedinya penonton dijamin akan terhibur tidak hanya dari plot cerita yang unik jokesnya yang ngehe tapi juga dari kelakuan-kelakuan karakter yang memang terbilang agak laen rekomendid
310;secara teknis pun film ini terasa sangat matang gambarnya apik wardrobenya cakep soundnya pun sedap tapi paling berkesan editingnya sih flownya enak banget di durasi 109 menit dan tidak ada adegan yang sia-sia pemilihan lagu dan scoringnya pun detail dan presisi banget
514;angga yunanda dengan karakter muklas-nya jelas sungguh menyita perhatian dengan desan karakternya yang lucu dan unik prilly meski screen-timenya ga banyak2 amat tapi tiap nongol keliatan total total secara akting maupun dalam urusan berbahasa jawa-nya salut
134;secara umum live action-nya ini merangkum 20 episode book 1-nya avatar ke dalam 8 episode ada beberapa chapter yang kena tweak di live actionnya ini ntah itu timeline-nya digeser ataupun pengenalan beberapa karakter ikoniknya ditongolin lebih awal dari versi animasinya
271;untuk scoring pun enak dan sangat mendukung suasana ceritanya sebenernya cuma untuk closing theme songnya agak-agak gimana gitu earworm sih jujur tapi kurang bikin terenyuh untuk bikin kita jadi inget sama dosa mungkin mau dicocokin sama vibes neraka
429;cara film ini dalam bercerita juga terbilang cukup rapih dan nyaman untuk diikuti dari pengenalan berbagai macam karakter yang oke di paruh awal berpetualang dengan konflik cari cuan yang cukup seru dan paruh akhir yang wow ternyata mengharukan yaa
503;first of all wajar beberapa orang mulai ngerasa capek ngikutin mcu terutama tentang sebuah keharusan untuk ngikutin berbagai macem series atau film marvel untuk bisa catch-up dengan mcu kedepannya meskipun masih banyak juga yang stay dan bahkan optimis buat kedepannya
462;jadi di film ini tokoh utamanya justru president snow yang jadi musuh besar katniss everdeen tapi latar waktunya jauh sebelum dia jadi presiden
359;oke berikut review kami untuk the djinn s curse 2023 wmidreview
511;pun disayangkan cast yang udah memerankan tiap karakternya dengan baik jadi rada terlihat aneh dengan dialog yang ga natural beberapa kali kami ngerasa ga ada feel ngobrol dari tektokan dialog karakter di dalam frame yang sama
372;srimulat hidup memang komedi 2023 rating 10
538;pada akhirnya love reset merupakan tontonan romcom yang sangat menghibur apalagi untuk melepas penat karena filmnya memang selucu itu jangan buru-buru pulang kalau sudah selesai karena terdapat 2 mid-credit scene
305;rumah masa depan diangkat dari serial tahun 1980an berjudul sama yang jujur kita ga tahu ceritanya dimana tapi tenang aja rumah masa depan yang sekarang bisa dibilang pembaharuan dan cerita memang sangat relate dengan kehidupan sekarang
360;buat kalian yang pengen liat review tontonan kami di sepanjang tahun 2023 silakan cek thread berikut ini atau klik gt wmidreview
213;di penghujung tahun 2023 anya sekeluarga hadir menemani libur natal dan tahun baru di jepang di film kali ini kita akan odekeke bareng keluarga forger tapi setiap orang punya masalah nya masing-masing sepanjang wisata anya dengan ketengilan dan kesotoyannya loid dengan
461;snow yang masih menjadi siswa akademi capitol membuat terobosan baru yang membuat hunger games makin dinikmati masyarakat panem dari sistem mentor sampai sponsor
136;awal-awal nonton berasa kalo visual dari world buildingnya digarap baik ga banyak perubahan malah bisa dibilang nyaris pleketiplek dari versi aslinya suka banget gimana arsitektur bangunan tiap nation dan berbagai macam creature di dunia avatar divisualisasikan dengan cakep
56;pada akhirnya 13 bom di jakarta ini merupakan sebuah project action ambisius yang sayangnya ga berakhir mulus karena urusan cerita dan karakterisasi yang ga digarap dengan cukup serius tapi kalo fokusnya cuma pengen liat film action jedar jeder doang ini cukup fun kok
494;urusan action dengan konsep pindah-pindah tadi sebenernya keren banget koreografinya pun cukup asik cuma emang berasa kurang maksimal karena editing dan camera worksnya yang kurang fluid ga seasoy gotg 3 tapi tetep bisa enjoy banget liat trio marvels ini beraksi
90;kalau di film pendeknya si hantu cuma neror cewek yg renang sendiri malem2 dan ngilang di film yg berdurasi sekitar 90 menit ini yg kena teror sekeluarga
189;kombinasi sutradara fajar bustomi dan penulis alim sudio rasanya adalah formula yang tidak mungkin gagal dalam menggarap adaptasi film layar lebar apakah pasutri gaje juga demikian
460;keseluruhan film ini fokus pada perkembangan karakter snow dari masa kecilnya yang simpatetik sampai semua journey yang dia alami sehingga tumbuh menjadi villain yang kita kenal sekarang
96;intinya kalau kamu mendalami cerita dune part one kamu akan amat sangat menikmati eksplorasi karakter world building dan politik konspirasi yang ada di dune part two waktu 2 jam 46 menit itu kerasa kurang karena pacing dan plot ceritanya juara highly recommended
163;ali topan 2024 rating rebel tapi responsible 10
152;oke berikut review kami untuk madame web 2024 wmidreview
291;secara premis harusnya film ini bisa jadi film horror yang menarik sekaligus menegangkan namun sayangnya tidak diimbangi dengan penyampaian cerita yang jelas pun cara filmnya ngasih flashback pun malah jadi bikin bingung kami tidak bisa cukup merasakan kalau itu tuh dua waktu
523;buat kalian yang pengen liat review tontonan kami di sepanjang tahun 2023 silakan cek thread berikut ini atau klik gt wmidreview
257;intinya sekuel aquaman kali ini terasa lebih besar dan lebih fun cukup banyak jokes meskipun tidak 100 hit semua ke penonton dan sedikit sentuhan reference pop culture yg membuat film ini berwarna scene kecoa pecah banget
381;jadi jangan kaget karena setengah jam pertama film ini nyaris persis dengan setengah jam pertama film srimulat hil yang mustahal - babak pertama tapi setelah setengah jam film ini akan belok ke arah cerita yang jauh berbeda agak lucu sih memang perasaannya di setengah jam
388;buat yang nanya apakah ada sensor ada kami notis ada 2 adegan yang keliatan banget kena cut-nya mengganggu sejujurnya ga ganggu banget cuma ya oh dipotong intinya tau lah diapain si korbannya dan hasilnya kek gimana gitu deh
29;kurangnya film ini menurut kami cuma satu sih filmnya seperti agak kebingungan untuk menentukan endingnya jadi endingnya terasa overstrecthed bikin durasinya jadi agak kepanjangan
396;buat kalian yang pengen liat review tontonan kami di sepanjang tahun 2023 silakan cek thread berikut ini atau klik gt wmidreview
294;bercerita tentang rendi harris vriza bersama 2 orang temannya martin zoul pandjoul dan siska amel carla pergi mengantarkan jenazah kakeknya ke makam di desa bernama winongo sial desa tersebut menyimpan masa lalu yang kelam brutal dan berdarah
544;jujur sekilas melihat dari trailer dan sinopsis memang plotnya terasa sinetron banget bahkan celetukan di filmnya pun ada yg mention amp menyenggol cerita yg seperti sinetron pada umumnya tapi surprisingly selama durasi 2 jam ini sukses mengcover cerita drama tersebut
492;yang jelas cukup mencuri perhatian adalah park seo-joon sebagai prince yan dari aladna sukses jadi pemecah keriuhan studio wkwkwkw fansnya psj yang udah tau dari lama pasti bakal ngerasa adegan di aladna bakal terasa sangat disney sekali sukak
306;oke berikut review kami untuk rumah masa depan 2023 wmidreview
35;not friends adalah sebuah film sekolah coming of age yang bercerita tentang pae seorang pelajar sma yang ingin membuat film pendek untuk mengenang joe teman sebangkunya yang tiba-tiba meninggal meski tak pernah membuat film sebelumnya pae bersama kru dadakannya tetap
244;meski ceritanya cukup clich film ini mampu membuat satu bioskop tertawa karena kelakuan para karakter-karakternya yang didesain selucu dan segemesin itu ceritanya yang ga ribet komedinya yang ringan dan lucu bikin migration ini layak jadi film liburan yang menarik
530;balik lagi sensasi rasa penasaran yang disajikan persis seperti yang dialami karakter di dalam series itu sendiri kita penonton semacam diajak mengarungi rasa penasaran bersama lebas dan arum ditambah tektokan mereka berdua yang nambah gemes ngikutin kisah series ini
169;film ali topan disutradarai oleh sidharta tata yang dikenal sebagai sutradara pertaruhan the series quarantine tales dan waktu maghrib mengingat sepak terjang dan trailer dari ali topan kayanya film ali topan bakal banyak adegan action tapi setelah kita tonton
527;semua cast berakting dengan sangat baik dynamic duo dian sastro dan ario bayu jelas tampil ciamik tapi kami justru lebih pengen nge-highlight putri marino dan arya saloka beneran deh susah buat ga bisa seru liatin tektokan mereka berdua di sini love-able banget
158;plot film ini cukup absurd dan sangat menggelitik dari awal sampai akhir banyak situasi yang dialami oleh pemeran utamanya yang sukses bikin ngakak nicolas cage is effortlessly funny
147;tapi sayang eksekusinya kurang greget entah kenapa mungkin mau main aman aja sebagai film pertama pengenalan sosok madame web sepanjang nonton cukup terhibur dengan celetukan dan sempilan easter egg sana sini tapi ya selebihnya ya udah
182;pasutri gaje 2024 rating yunani 10
123;oke berikut review kami untuk pemandi jenazah 2024 wmidreview
62;ditambah kami suka banget suasana thrilling-nya bisa digarap dengan cukup baik lewat aransemen abel huray vibe-vibe mencekamnya kota jakarta ditambah visual yang redup remang2 di mana mana bikin ya kita cukup percaya jakarta lagi dilanda teror
239;punya premis yang mengangkat tema liburan film ini punya sinematografi yang ciamik keindahan alam indonesia ditampilkan begitu cantiknya kekuatan visual film ini memang cukup menonjol perihal memperlihatkan pemandangan alam-nya
279;oke berikut review kami untuk siksa neraka 2023 wmidreview
81;karena jujur menurut kami lore nya sangat menarik atau mungkin emang sengaja disimpen buat nanti dibikin sequel prequelnya kita tunggu saja
449;oke berikut review kami untuk past lives 2023 wmidreview
525;gadis kretek mampu mencengkram para penontonnya dengan cara bercerita yang cantik menyenangkan dan tak henti memberi rasa penasaran suguhan drama romance tak biasa yang disajikan secara luar biasa kandidat terkuat series lokal terbaik tahun ini highly recommended
15;selain itu kami rasa momen-momen emosional empat karakternya kurang terdeliver dengan baik dan tak terlalu mengena oh ya tambahan lain pemilihan lagu yang mengiringi pun terasa kurang menyatu dengan situasinya kurang ngeblend aja gitu
414;dari sisi cerita absurd banget memang hahaha tapi ya namanya film anak jadi ga terlalu diambil pusing komedi celetukan para karakternya tetep sukses mancing tawa banget untuk yg familiar dengan berbagai macam referensi 90an pasti cukup asik nontonnya
431;film ini punya desain karakter yang gampang bikin relate utan si sulung yang berusaha sekuat tenaga memastikan keluarganya baik2 saja bilqis si anak tengah yang pengen bantu nyari uang aji si bungsu yang pikasebeleun dan emak yang sayang sama anak2nya
322;peran rowan atkinson sebagai priest sayangnya ga terlalu banyak meskipun kemunculannya sukses bikin ngakak satu bioskop dengan formula komedinya yang khas
500;pertama captain marvel carol denvers doi muncul di film captain marvel avengers endgame dan nongol dikit tapi penting di credit scene film shang-chi and the legend of the ten rings kedua captain rambeu monica rembeu merupakan anak dari maria rambeau sahabatnya carol
137;ngomongin premis kalo kalian nonton dan ngikutin avatar the last airbender versi animasi premisnya sebenernya selalu diulang setiap sebelum episode dimulai dan di versi live actionnya ini pun sama
